SUMMIT TRUCK BODIES,,56746,SA-3900,SAND PROFILE INC,,,,,2020-01-14-00.00.00.000000,2020-05-08-00.00.00.000000,DEEW,FedX,,1,400-00129,109 (A5347),14760,FT,,WEATHER STRIPPING           ,2020-03-06-00.00.00.000000,8856,0,,,,,,,,,,,,,,,,,0,0,,0.442,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58578,HA-5000,Hanna Rubber Company,Kyle,Kane,,816-221-9600,2020-05-01-00.00.00.000000,2020-05-08-00.00.00.000000,LBAILEY,Economy Express,,1,400-00132,02.99.00002,200,EA,,"GASKET, BUNA .13 TIE DOWN",,0,0,,,,,,,,,,,,,816-421-0583,,HANNA (SEY),,0,0,,1.15,,,Parts - Dee,General,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58415,HA-5000,Hanna Rubber Company,Kyle,Kane,,816-221-9600,2020-04-22-00.00.00.000000,2020-05-01-00.00.00.000000,LBAILEY,Economy Express,,1,400-00278,25Z-SD212-T,250,FT,,.75 D SPANGE DOOR SEAL,,0,0,,,,,,,,,,,,,816-421-0583,,HANNA RUBBER (HAR),,0,0,,1.15,,,Parts - Dee,General,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,57889,CA-5200,Cast Products Inc,Ada,Shapiro,,256-233-1500,2020-03-20-00.00.00.000000,2020-05-15-00.00.00.000000,DEEW,,,2,400-00326,FG2102-1-238,40,EA,,"FUEL BUCKET, 21 DEG",,0,0,,,,,,,,,,,,,256-233-6238,,,,0,0,,16.87,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,55118,CL-2000,CLANCEY DESIGN DISTRIBUTOR,JOE,VAN DYKE,,800-747-7405,2019-10-03-00.00.00.000000,2020-04-27-00.00.00.000000,DEEW,Best Way,,1,400-00545,400-00545,7000,EA,,"HOLDER,ROD,DOOR,ALUMINUM,1875 IN GUIDE",2020-02-03-00.00.00.000000,4000,0,,,,,,,,,,,,,800-273-4508,ACCOUNT MANAGER,,,0,0,,0.44,,,Parts - Dee,HW - Doors,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58474,AL-5000,Allegis,Brian ,Sandberg,,866-378-7550,2020-04-24-00.00.00.000000,2020-05-08-00.00.00.000000,LBAILEY,Best Way,,1,400-00554,282113,400,EA,,"ROD, DOOR,23.6 IN LG, .31 IN DIA WITH NY",,0,0,,,,,,,,,,,,,800-318-5149,Territory Manager,,,0,0,,2.99,,,Parts - Dee,HW - Doors,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58373,AL-5000,Allegis,Brian ,Sandberg,,866-378-7550,2020-04-20-00.00.00.000000,2020-05-04-00.00.00.000000,LBAILEY,Best Way,,1,400-00557,282121,400,EA,,"ROD, DOOR,27.55 IN LG, .31 IN DIA WITH N",,0,0,,,,,,,,,,,,,800-318-5149,Territory Manager,,,0,0,,4.076,,,Parts - Dee,HW - Doors,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,57876-1,AL-5000,Allegis,Brian ,Sandberg,,866-378-7550,2020-03-19-00.00.00.000000,2020-04-21-00.00.00.000000,LBAILEY,Best Way,,1,400-00573,16720-1-01,100,EA,,"ACTUATOR, POWERLOCK SYSTEM",,0,0,,,,,,,,,,,,,800-318-5149,Territory Manager,,,0,0,,16.59,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58575,AU-5000,Austin Hardware & Supply Inc.,ROGER,MAWHINEY,,866-246-2817,2020-05-01-00.00.00.000000,2020-05-07-00.00.00.000000,LBAILEY,Economy Express,,1,400-00625,A708,120,FT,,"PIANO HINGE,ALUM, .19 DIA.,1.00 LEAF 6FT",,0,0,,,,,,,,,,,,,816-246-2891,,,,0,0,,2.1066,,,Parts - Dee,Fastners,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,57132,CL-2000,CLANCEY DESIGN DISTRIBUTOR,JOE,VAN DYKE,,800-747-7405,2020-02-05-00.00.00.000000,2020-04-17-00.00.00.000000,DEEW,Best Way,,1,400-00672,HS-203-1.50HD,3150,EA,,"BALL STUD,10MM,.4375 IN HEX,2.437 IN LG",2020-02-18-00.00.00.000000,1260,0,,,,,,,,,,,,,800-273-4508,ACCOUNT MANAGER,,,0,0,,1,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58504,VA-6000,VAN-AM TOOL & ENGINEERING INC,DOUG,LONG,,816-233-6622,2020-04-28-00.00.00.000000,2020-05-26-00.00.00.000000,DEEW,,,1,400-00797,400-00797,1200,EA,,"RISER PLATES,2X2",2020-05-26-00.00.00.000000,0,0,,,,,,,,,,,,,816-233-9422,,,,0,0,,5.91,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58421,EL-2000,"ELECTROLIFE BATTERY, INC",,,,,2020-04-22-00.00.00.000000,2020-05-05-00.00.00.000000,LBAILEY,,,1,400-01375,24-HD,6,EA,,"BATTERY, 12/24 VOLT  GROUP 24-HD",,0,0,,,,,,,,,,,,,,,,,0,0,,87.27,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,54540,EB-2000,EBERHARD MANUFACTURING COMPANY,,,,,2019-08-27-00.00.00.000000,2020-11-09-00.00.00.000000,DEEW,,,1,400-02369,15X-16717-9-PKL-32,500,EA,,"LATCH, TAILGATE, TWO POINT LH, LEVER LOC",2019-12-30-00.00.00.000000,201,0,,,,,,,,,,,,,,,,,0,0,,27.26,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,57131,CL-2000,CLANCEY DESIGN DISTRIBUTOR,JOE,VAN DYKE,,800-747-7405,2020-02-05-00.00.00.000000,2020-04-27-00.00.00.000000,DEEW,Best Way,,1,400-02536,105649,2520,EA,,"GAS SHOCK,12 IN,DAMPENED,30LB, NYLON END",2020-04-27-00.00.00.000000,420,0,,,,,,,,,,,,,800-273-4508,ACCOUNT MANAGER,,,0,0,,7.38,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58369,IM-4000,I & M Machine & Fabrication,JON,BARRON,,816-233-6841,2020-04-20-00.00.00.000000,2020-05-08-00.00.00.000000,DEEW,Company Truck,I&M Quote 120356,1,400-02577,SUMMI-400-02577,4,EA,"SQ. TUBE, 2X2X1/8X165.73 SIDE TUBE FOR SIDEPACK TOP BASKET","SQ. TUBE, 2X2X1/8X165.73 SIDE TUBE",2020-03-06-00.00.00.000000,4,0,,,,,,,,,,,,,816-232-8255,,,,0,0,0,63.58,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58369,IM-4000,I & M Machine & Fabrication,JON,BARRON,,816-233-6841,2020-04-20-00.00.00.000000,2020-05-08-00.00.00.000000,DEEW,Company Truck,I&M Quote 120356,2,400-02578,SUMMI-400-02578,10,EA,"SQ. TUBE, 2X2X1/8X17.73 CROSS TUBE FOR SIDEPACK TOP BASKET","SQ. TUBE, 2X2X1/8X17.73 CROSS TUBE",2020-03-06-00.00.00.000000,10,0,,,,,,,,,,,,,816-232-8255,,,,0,0,0,15.88,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58369,IM-4000,I & M Machine & Fabrication,JON,BARRON,,816-233-6841,2020-04-20-00.00.00.000000,2020-05-08-00.00.00.000000,DEEW,Company Truck,I&M Quote 120356,3,400-02579,SUMMI-400-02579,1,EA,"SQ. TUBE, 2X2X1/8X54.77 FRONT TUBE FOR SIDEPACL TOP BASKET","SQ. TUBE, 2X2X1/8X54.77 FRONT VERT TUB",2020-03-06-00.00.00.000000,1,0,,,,,,,,,,,,,816-232-8255,,,,0,0,0,121.51,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58369,IM-4000,I & M Machine & Fabrication,JON,BARRON,,816-233-6841,2020-04-20-00.00.00.000000,2020-05-08-00.00.00.000000,DEEW,Company Truck,I&M Quote 120356,4,400-02580,SUMMI-400-02580,2,EA,"SQ. TUBE, 2X2X1/8X24.19 FRONT VERT TUBE FORSIDEPACK TOP BASKET","SQ. TUBE, 2X2X1/8X24.19 FRONT VERT TUBE",2020-03-06-00.00.00.000000,2,0,,,,,,,,,,,,,816-232-8255,,,,0,0,0,61.22,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58175,AU-5000,Austin Hardware & Supply Inc.,ROGER,MAWHINEY,,866-246-2817,2020-04-08-00.00.00.000000,2020-06-10-00.00.00.000000,DEEW,Economy Express,,1,400-02926,TD-60R ZN NDH W/S,2000,EA,,"TIE DOWN, WITH STUDS",2020-06-10-00.00.00.000000,0,0,,,,,,,,,,,,,816-246-2891,,,,0,0,,8.16,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58348,AL-5000,Allegis,Brian ,Sandberg,,866-378-7550,2020-04-17-00.00.00.000000,2020-05-22-00.00.00.000000,LBAILEY,Best Way,,1,400-02954,2-16642DB-71-J210-09,20,EA,,"KEY LOCK CYLDR W/ KEYS, WHALETAIL J210",,0,0,,,,,,,,,,,,,800-318-5149,Territory Manager,,,0,0,,7.186,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58225,SI-5500,Sinclair & Rush Inc,,,,,2020-04-10-00.00.00.000000,2020-05-06-00.00.00.000000,DEEW,,,1,400-03301,89148,4000,EA,,RUBBER LAB STOPPER,,0,0,,,,,,,,,,,,,,,,,0,0,,0.0831,,40501,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58534,FA-4500,Fastenal Industrial & Construction Supplies,,,,816-279-9800,2020-04-29-00.00.00.000000,2020-05-01-00.00.00.000000,LBAILEY,Company Truck,,2,400-03884,110166800,8,EA,,"SPRING, EXTENSION  2-3/4L LOOP END",,0,0,,,,,,,,,,,,,816-279-3881,,,,0,0,,1.75,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,54025,EB-2000,EBERHARD MANUFACTURING COMPANY,,,,,2019-07-23-00.00.00.000000,2020-04-24-00.00.00.000000,DEEW,,,1,400-04220,P6-38630-RPK-J202-42 ,3000,EA,P6-38630-RPK-J202-42 ,"LATCH, T-HANDLE STAMPED, OVERMOLDED",2020-04-24-00.00.00.000000,99,0,,,,,,,,,,,,,,,,,0,0,,42.16,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,57851,EB-2000,EBERHARD MANUFACTURING COMPANY,,,,,2020-03-18-00.00.00.000000,2020-08-12-00.00.00.000000,DEEW,,,1,400-04221,1-16722-31PK-64,3200,EA,,"ADAPTOR, 3/8 ROD TO HANDLE, EXTENDED",2020-08-12-00.00.00.000000,0,0,,,,,,,,,,,,,,,,,0,0,,1.12,,40501,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58553,AL-7000,"All State Industries, Inc",Parker,Grease,,,2020-04-30-00.00.00.000000,2020-05-29-00.00.00.000000,LBAILEY,,,1,400-04268,400-04268,20,EA,,MUD FLAP .50 x 30 1/2 x 23 RBR GD SUMMIT,,0,0,,,,,,,,,,,,,,,,,0,0,,17,,,Parts - Dee,General,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58369,IM-4000,I & M Machine & Fabrication,JON,BARRON,,816-233-6841,2020-04-20-00.00.00.000000,2020-05-08-00.00.00.000000,DEEW,Company Truck,I&M Quote 120356,5,400-04463,SUMMI-400-04463,8,EA,"SQ. TUBE, 2.0 X 2.0 X 30.23 L X .13 THK , 90 DEG ENDS/SLOT & TAB","SQ. TUBE, 2.0 X 2.0 X 30.23 L X .13 THK,",2020-03-06-00.00.00.000000,8,0,,,,,,,,,,,,,816-232-8255,,,,0,0,0,23.76,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58369,IM-4000,I & M Machine & Fabrication,JON,BARRON,,816-233-6841,2020-04-20-00.00.00.000000,2020-05-08-00.00.00.000000,DEEW,Company Truck,I&M Quote 120356,6,400-04464,SUMMI-400-04464,12,EA,"SQ. TUBE, 2.0 X 2.0 X 30.23 L X .13 THK, 90 DEG ENDS/NOTCHED","SQ. TUBE, 2.0 X 2.0 X 30.23 L X .13 THK,",2020-03-06-00.00.00.000000,12,0,,,,,,,,,,,,,816-232-8255,,,,0,0,0,19.17,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,57961,IN-5300,Innovative Industries Inc,Matt,Curtis,,,2020-03-25-00.00.00.000000,2020-04-27-00.00.00.000000,DEEW,FedX,,1,400-20277, SM2-SP-42-14.5,2,EA,,"SLIDE TRAY, SM2-SP 42-14.5, WITHOUT FEET",,0,0,,,,,,,,,,,,,,,,,0,0,,350,,,Parts - Dee,General,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58001,IN-5300,Innovative Industries Inc,Matt,Curtis,,,2020-03-26-00.00.00.000000,2020-04-27-00.00.00.000000,DEEW,FedX,TRUCKS 9794 & 9795,1,400-21420,SM2-MP-18-42 DHGB,4,EA,SM2-MP-18-42 DHGB,"SLIDE TRAY, SM2-MP-18-42 DHGB",,0,0,,,,,,,,,,,,,,,,,0,0,,371,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,58284,IN-5300,Innovative Industries Inc,Matt,Curtis,,,2020-04-16-00.00.00.000000,2020-05-21-00.00.00.000000,DEEW,FedX,TRUCKS 9796 & 9797,1,400-21420,SM2-MP-18-42 DHGB,4,EA,      SM2-MP-18-42 DHGB,"SLIDE TRAY, SM2-MP-18-42 DHGB",,0,0,,,,,,,,,,,,,,,,,0,0,,371,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
SUMMIT TRUCK BODIES,,57692,IN-5300,Innovative Industries Inc,Matt,Curtis,,,2020-03-10-00.00.00.000000,2020-04-15-00.00.00.000000,DEEW,FedX,Aherns 9847 thru 9866,1,400-22069,SM2-MP-24-42-IMS,20,EA,                          SM2-MP-24-42-IMS,"SLIDE TRAY, SINGLE DIRECTION, 70% EXTEN.",2020-04-15-00.00.00.000000,10,0,,,,,,,,,,,,,,,,,0,0,,310,,,Parts - Dee,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,
