rstk__icitem__c,Id,Part Num,,"Select rstk__externalid__c , Id from rstk__icitem__c Where rstk__icitem_div__r.Name like '%Bodies%' and rstk__externalid__c in ('STB_300-70031',",rstk__icitem_invuom,rstk__icitem_ltmfgwoshopflr__c,rstk__icitem_sspolqty__c,rstk__icitem_mrpminqty__c,rstk__icitem_mrpmaxqty__c,rstk__icitem_mrpminqtyind__c,rstk__icitem_mrpmaxqtyind__c,rstk__icitem_sspolqtyind__c,rstk__icitem_ltmfgwoshopflrind__c,,,,,,,,,,,
,a2um0000001YdrjAAC,800-50918,STB_800-50918,"'STB_800-50918',",EA,21,8,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdrsAAC,800-51035,STB_800-51035,"'STB_800-51035',",EA,14,10,6,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdrtAAC,800-51068,STB_800-51068,"'STB_800-51068',",EA,21,9,8,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdruAAC,800-51069,STB_800-51069,"'STB_800-51069',",EA,14,12,8,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdrvAAC,800-51087,STB_800-51087,"'STB_800-51087',",EA,14,10,8,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdrwAAC,800-51426,STB_800-51426,"'STB_800-51426',",EA,21,30,6,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdrxAAC,800-51432,STB_800-51432,"'STB_800-51432',",EA,21,15,30,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdryAAC,800-51433,STB_800-51433,"'STB_800-51433',",EA,21,15,30,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdrzAAC,800-51747,STB_800-51747,"'STB_800-51747',",EA,21,30,6,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001Yds0AAC,800-75240,STB_800-75240,"'STB_800-75240',",EA,14,10,10,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001Yds1AAC,800-77035,STB_800-77035,"'STB_800-77035',",EA,14,24,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001Yds2AAC,800-77286,STB_800-77286,"'STB_800-77286',",EA,14,6,6,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001Yds3AAC,800-91351,STB_800-91351,"'STB_800-91351',",EA,14,70,5,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001Yds4AAC,800-91357,STB_800-91357,"'STB_800-91357',",EA,14,20,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001Yds5AAC,800-94763,STB_800-94763,"'STB_800-94763',",EA,14,20,5,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdwsAAC,800-77539,STB_800-77539,"'STB_800-77539',",EA,14,30,,40,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdwtAAC,DPTD-18,STB_DPTD-18,"'STB_DPTD-18',",EA,14,350,120,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdwuAAC,800-50488,STB_800-50488,"'STB_800-50488',",EA,21,1,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdwvAAC,800-50808,STB_800-50808,"'STB_800-50808',",EA,21,1,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdwwAAC,800-50810,STB_800-50810,"'STB_800-50810',",EA,21,1,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdwxAAC,800-50887,STB_800-50887,"'STB_800-50887',",EA,21,16,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdwyAAC,800-50906,STB_800-50906,"'STB_800-50906',",EA,21,15,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdwzAAC,800-50965,STB_800-50965,"'STB_800-50965',",EA,21,6,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001Ydx0AAC,800-51059,STB_800-51059,"'STB_800-51059',",EA,21,10,11,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001Ydx4AAC,800-60013,STB_800-60013,"'STB_800-60013',",EA,14,1,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdxBAAS,800-60008,STB_800-60008,"'STB_800-60008',",EA,14,5,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdxCAAS,800-75248,STB_800-75248,"'STB_800-75248',",EA,14,6,9,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdxEAAS,800-75640,STB_800-75640,"'STB_800-75640',",EA,7,40,0,30,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdxFAAS,800-82423,STB_800-82423,"'STB_800-82423',",EA,14,14,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdxGAAS,800-82605,STB_800-82605,"'STB_800-82605',",EA,7,40,36,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdxHAAS,ADPTD-18,STB_ADPTD-18,"'STB_ADPTD-18',",EA,14,500,189,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdxIAAS,DRSADS-18,STB_DRSADS-18,"'STB_DRSADS-18',",EA,14,368,92,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdxJAAS,DRSADV-18-3,STB_DRSADV-18-3,"'STB_DRSADV-18-3',",EA,14,504,168,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdxKAAS,DRSADV-18-5,STB_DRSADV-18-5,"'STB_DRSADV-18-5',",EA,14,288,96,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdxLAAS,DRSADV-18-7,STB_DRSADV-18-7,"'STB_DRSADV-18-7',",EA,14,142,71,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdxMAAS,DRSAS-18-3,STB_DRSAS-18-3,"'STB_DRSAS-18-3',",EA,14,315,105,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdxNAAS,DRSAS-18-5,STB_DRSAS-18-5,"'STB_DRSAS-18-5',",EA,14,152,76,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdxOAAS,DRSAS-18-7,STB_DRSAS-18-7,"'STB_DRSAS-18-7',",EA,14,110,55,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdxPAAS,DRSAST-18,STB_DRSAST-18,"'STB_DRSAST-18',",EA,14,110,42,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdxQAAS,800-52092,STB_800-52092,"'STB_800-52092',",EA,14,4,8,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
